id,分类,前置ID,后续ID,计数模式,完成条件类型,计数,比对ID,花费金币,奖励成就值,功能ID1,功能ID2,成就名称,成就描述,完成条件描述,成就徽章图标,成就奖励艺术字
2009,2,2008,2010,1,38,1,18,1900000,45000,21009,0,伤害提升[9],对怪伤害增加5%,击杀至尊帝皇,hz_shanghai,jl_shanghai5
2010,2,2009,0,1,38,1,21,2000000,50000,21010,0,伤害提升[10],对怪伤害增加5%,击杀深海幽龙王,hz_shanghai,jl_shanghai5
3001,3,0,3002,0,49,1,5,100000,10000,23001,0,回收上限[1],装备回收经验上限增加3000W,强化1件+5装备,hz_huishou,jl_huishou3000w
3002,3,3001,3003,0,49,2,5,200000,15000,23001,0,回收上限[2],装备回收经验上限增加3000W,强化2件+5装备,hz_huishou,jl_huishou3000w
3003,3,3002,3004,0,49,1,7,300000,20000,23001,0,回收上限[3],装备回收经验上限增加3000W,强化1件+7装备,hz_huishou,jl_huishou3000w
3004,3,3003,3005,0,49,2,7,400000,40000,23001,0,回收上限[4],装备回收经验上限增加3000W,强化2件+7装备,hz_huishou,jl_huishou3000w
3005,3,3004,3006,0,49,1,9,500000,50000,23001,0,回收上限[5],装备回收经验上限增加3000W,强化1件+9装备,hz_huishou,jl_huishou3000w
3006,3,3005,3007,0,49,2,9,600000,100000,23001,0,回收上限[6],装备回收经验上限增加3000W,强化2件+9装备,hz_huishou,jl_huishou3000w
3007,3,3006,3008,0,49,1,12,700000,70000,23001,0,回收上限[7],装备回收经验上限增加3000W,强化1件+12装备,hz_huishou,jl_huishou3000w
3008,3,3007,3009,0,49,2,12,800000,140000,23001,0,回收上限[8],装备回收经验上限增加3000W,强化2件+12装备,hz_huishou,jl_huishou3000w
3009,3,3008,3010,0,49,1,15,900000,100000,23001,0,回收上限[9],装备回收经验上限增加3000W,强化1件+15装备,hz_huishou,jl_huishou3000w
3010,3,3009,0,0,49,2,15,1000000,200000,23001,0,回收上限[10],装备回收经验上限增加3000W,强化2件+15装备,hz_huishou,jl_huishou3000w
4001,4,0,4002,0,36,2,0,1100000,20000,24003,0,仓位提升[1],仓库格子增加3,累计登陆2天,hz_cangwei,jl_cangwei3
4002,4,4001,4003,0,36,3,0,1200000,40000,24003,0,仓位提升[2],仓库格子增加3,累计登陆3天,hz_cangwei,jl_cangwei3
4003,4,4002,4004,0,36,5,0,1300000,72000,24003,0,仓位提升[3],仓库格子增加3,累计登陆5天,hz_cangwei,jl_cangwei3
4004,4,4003,4005,0,36,8,0,1400000,100000,24003,0,仓位提升[4],仓库格子增加3,累计登陆8天,hz_cangwei,jl_cangwei3
4005,4,4004,4006,0,36,12,0,1500000,160000,24003,0,仓位提升[5],仓库格子增加3,累计登陆12天,hz_cangwei,jl_cangwei3
4006,4,4005,4007,0,36,16,0,1600000,220000,24005,0,仓位提升[6],仓库格子增加5,累计登陆16天,hz_cangwei,jl_cangwei5
4007,4,4006,4008,0,36,22,0,1700000,300000,24005,0,仓位提升[7],仓库格子增加5,累计登陆22天,hz_cangwei,jl_cangwei5
4008,4,4007,4009,0,36,28,0,1800000,390000,24005,0,仓位提升[8],仓库格子增加5,累计登陆28天,hz_cangwei,jl_cangwei5
4009,4,4008,4010,0,36,36,0,1900000,500000,24005,0,仓位提升[9],仓库格子增加5,累计登陆36天,hz_cangwei,jl_cangwei5
4010,4,4009,0,0,36,50,0,2000000,650000,24005,0,仓位提升[10],仓库格子增加5,累计登陆50天,hz_cangwei,jl_cangwei5
5001,5,0,5002,0,35,1,2,100000,20000,30011,31011,伤害减免[1],角色受到的伤害减少1%,通过闯天关第一章尸王关卡,hz_jianshang,jl_jianshang1
5002,5,5001,5003,0,35,1,4,200000,40000,30012,31012,伤害减免[2],角色受到的伤害减少1%,通过闯天关第一章娜迦关卡,hz_jianshang,jl_jianshang1
5003,5,5002,5004,0,35,1,6,300000,60000,30013,31013,伤害减免[3],角色受到的伤害减少1%,通过闯天关第一章触龙邪神关卡,hz_jianshang,jl_jianshang1
5004,5,5003,5005,0,35,1,8,400000,80000,30014,31014,伤害减免[4],角色受到的伤害减少1%,通过闯天关第二章荒漠霸主关卡,hz_jianshang,jl_jianshang1
5005,5,5004,5006,0,35,1,10,500000,100000,30001,31001,伤害减免[5],角色受到的伤害减少1%,通过闯天关第二章血炼猪魔关卡,hz_jianshang,jl_jianshang1
5006,5,5005,5007,0,35,1,12,600000,120000,30015,31015,伤害减免[6],角色受到的伤害减少1%,通过闯天关第二章沃玛教主关卡,hz_jianshang,jl_jianshang1
5007,5,5006,5008,0,35,1,14,700000,140000,30016,31016,伤害减免[7],角色受到的伤害减少1%,通过闯天关第三章祖玛教主关卡,hz_jianshang,jl_jianshang1
5008,5,5007,5009,0,35,1,18,800000,180000,30017,31017,伤害减免[8],角色受到的伤害减少1%,通过闯天关第三章牛魔王关卡,hz_jianshang,jl_jianshang1
5009,5,5008,5010,0,35,1,24,900000,240000,30018,31018,伤害减免[9],角色受到的伤害减少1%,通过闯天关第四章冰宫祭司关卡,hz_jianshang,jl_jianshang1
5010,5,5009,0,0,35,1,30,1000000,300000,30002,31002,伤害减免[10],角色受到的伤害减少1%,通过闯天关第五章蛮荒巨兽关卡,hz_jianshang,jl_jianshang1
