状态ID,状态名称,图标,是否在UI上显示,UI排序,buff种类,等级,叠加类型,描述,攻击解除状态,受攻击解除状态,死亡解除状态,复活解除,移动解除,自己可见,下线保存,有效类型,有效上限,作用间隔时间,结束buff,合法对象,影响范围,功能ID1,功能ID2,功能ID3,特效类型,特效ID,属性存储组
33006,隐身术6级,buff_yinshenshu,1,0,413,6,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,35000,0,0,2,1,0,0,0,0,88002,20
33007,隐身术7级,buff_yinshenshu,1,0,413,7,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,40000,0,0,2,1,0,0,0,0,88002,20
33008,隐身术8级,buff_yinshenshu,1,0,413,8,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,45000,0,0,2,1,0,0,0,0,88002,20
33009,隐身术9级,buff_yinshenshu,1,0,413,9,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,50000,0,0,2,1,0,0,0,0,88002,20
33010,隐身术10级,buff_yinshenshu,1,0,413,10,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,55000,0,0,2,1,0,0,0,0,88002,20
33011,隐身术11级,buff_yinshenshu,1,0,413,10,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,60000,0,0,2,1,0,0,0,0,88002,20
33012,隐身术12级,buff_yinshenshu,1,0,413,10,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,65000,0,0,2,1,0,0,0,0,88002,20
33013,隐身术13级,buff_yinshenshu,1,0,413,10,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,70000,0,0,2,1,0,0,0,0,88002,20
34001,转生1,buff_zhuansheng,1,0,414,1,2,物理攻击力：31-65<br />法术攻击力：31-65<br />道术攻击力：31-65,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34002,转生2,buff_zhuansheng,1,0,414,2,2,物理攻击力：71-148<br />法术攻击力：71-148<br />道术攻击力：71-148,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34003,转生3,buff_zhuansheng,1,0,414,3,2,物理攻击力：126-263<br />法术攻击力：126-263<br />道术攻击力：126-263,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34004,转生4,buff_zhuansheng,1,0,414,4,2,物理攻击力：197-411<br />法术攻击力：197-411<br />道术攻击力：197-411,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34005,转生5,buff_zhuansheng,1,0,414,5,2,物理攻击力：284-593<br />法术攻击力：284-593<br />道术攻击力：284-593,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34006,转生6,buff_zhuansheng,1,0,414,6,2,物理攻击力：387-807<br />法术攻击力：387-807<br />道术攻击力：387-807,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34007,转生7,buff_zhuansheng,1,0,414,7,2,物理攻击力：506-1054<br />法术攻击力：506-1054<br />道术攻击力：506-1054,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34008,转生8,buff_zhuansheng,1,0,414,8,2,物理攻击力：640-1334<br />法术攻击力：640-1334<br />道术攻击力：640-1334,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34009,转生9,buff_zhuansheng,1,0,414,9,2,物理攻击力：791-1647<br />法术攻击力：791-1647<br />道术攻击力：791-1647,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34010,转生10,buff_zhuansheng,1,0,414,10,2,物理攻击力：957-1994<br />法术攻击力：957-1994<br />道术攻击力：957-1994,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34011,转生11,buff_zhuansheng,1,0,414,11,2,物理攻击力：1139-2373<br />法术攻击力：1139-2373<br />道术攻击力：1139-2373,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34012,转生12,buff_zhuansheng,1,0,414,12,2,物理攻击力：1336-2785<br />法术攻击力：1336-2785<br />道术攻击力：1336-2785,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
34013,转生13,buff_zhuansheng,1,0,414,13,2,物理攻击力：1550-3230<br />法术攻击力：1550-3230<br />道术攻击力：1550-3230,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,13
35001,野蛮1级,buff_yeman,1,0,415,1,2,僵值,0,0,1,0,0,1,0,1,500,0,0,3,1,0,0,0,0,88004,20
36001,一阶官印,buff_guanyin,1,0,416,1,2,PK伤害：+2%；PK免伤：+2%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39001,0,0,0,0,13
36002,二阶官印,buff_guanyin,1,0,416,2,2,PK伤害：+4%；PK免伤：+4%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39002,0,0,0,0,13
36003,三阶官印,buff_guanyin,1,0,416,3,2,PK伤害：+6%；PK免伤：+6%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39003,0,0,0,0,13
36004,四阶官印,buff_guanyin,1,0,416,4,2,PK伤害：+8%；PK免伤：+8%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39004,0,0,0,0,13
36005,五阶官印,buff_guanyin,1,0,416,5,2,PK伤害：+10%；PK免伤：+10%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39005,0,0,0,0,13
36006,六阶官印,buff_guanyin,1,0,416,6,2,PK伤害：+12%；PK免伤：+12%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39006,0,0,0,0,13
36007,七阶官印,buff_guanyin,1,0,416,7,2,PK伤害：+14%；PK免伤：+14%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39007,0,0,0,0,13
36008,八阶官印,buff_guanyin,1,0,416,8,2,PK伤害：+16%；PK免伤：+16%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39008,0,0,0,0,13
36009,九阶官印,buff_guanyin,1,0,416,9,2,PK伤害：+18%；PK免伤：+18%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39009,0,0,0,0,13
36010,十阶官印,buff_guanyin,1,0,416,10,2,PK伤害：+20%；PK免伤：+20%,0,0,0,0,0,1,1,1,604800000,0,0,1,1,39010,0,0,0,0,13
37001,幸运+9,buff_xingyun,1,0,417,9,2,幸运+9,0,0,0,0,0,1,1,1,1800000,0,0,1,1,40001,0,0,0,0,20
38001,女神免费buff,buff_guwu,1,0,418,1,2,物理攻击力：23-80<br />法术攻击力：23-80<br />道术攻击力：23-80,0,0,0,0,0,1,0,1,60000,0,0,1,1,37001,0,0,0,0,20
38002,女神付费buff,buff_guwuff,1,0,418,2,2,物理攻击力：23-80<br />法术攻击力：23-80<br />道术攻击力：23-80,0,0,0,0,0,1,0,1,1200000,0,0,1,1,37001,0,0,0,0,20
39001,攻击神力,buff_atrack1,1,0,419,1,1,物理攻击力：+50%<br />法术攻击力：+50%<br />道术攻击力：+50%,0,0,0,0,0,1,0,1,30000,0,0,1,1,41003,0,0,0,0,20
39002,防御神盾,buff_atrack2,1,0,419,1,1,物理防御：+50%<br />魔法防御：+50%,0,0,0,0,0,1,0,1,30000,0,0,1,1,42001,0,0,0,0,20
39003,生命洪流,buff_atrack3,1,0,419,1,1,生命上限：+50%,0,0,0,0,0,1,0,1,30000,0,0,1,1,26005,0,0,0,0,20
39004,暴击神力,buff_baoji,1,0,419,1,1,暴击率：+50%,0,0,0,0,0,1,0,1,30000,0,0,1,1,33018,0,0,0,0,20
39005,神圣之力,buff_shensheng,1,0,419,1,1,神圣攻击：10000,0,0,0,0,0,1,0,1,30000,0,0,1,1,43001,0,0,0,0,20
