#mID,mNpcName,mScript,mShop,mMapid,mPosx,mPosy,mResModel,mDirect,mFlyID,mShortName,mChangeName,mShowFlag,mDefalutTalk
4005006,精英阁,npc.jyg,null,biqi,34,48,41021,4,2030006,null,0,0,我们只招收精英。
4005007,藏宝阁,npc.cangbaoge,null,biqi,44,53,41047,4,2030007,null,0,0,我这都是宝贝，不要来抢啊。
4005008,比奇守卫,npc.task.n037,null,biqi,72,11,41018,4,2030008,null,0,0,你从哪来？要到哪去？快过来让我搜搜身。
4005009,押镖使者,npc.dart,null,biqi,23,19,41048,4,2030009,null,0,0,我是默认对话
4005010,神威魔狱,npc.shengwei,null,biqi,36,38,41022,4,2030010,null,0,0,我是默认对话
4006001,山谷守卫,npc.task.n056,null,siwangshangu1,16,116,41018,4,2080001,null,0,0,这地方真让人受不了。
4006002,乞讨者,npc.task.n059,null,siwangshangu1,20,91,41017,4,2080002,null,0,0,我今天休息，明天再来施舍我吧。
4006003,夏胡闹,npc.task.n057,null,siwangshangu1,22,69,41001,4,2080003,null,0,0,你没有看错，我就是瞎胡闹。
4006004,巡逻士兵,npc.task.n058,null,siwangshangu1,23,39,41027,4,2080004,null,0,0,天干物燥，小心火烛。
4006005,巡逻队长,npc.task.n054,null,siwangshangu1,30,24,41051,4,2080005,null,0,0,好多虫子呀，不过我喜欢。
4006006,醉汉,npc.task.n053,null,siwangshangu1,35,10,41020,4,2080006,null,0,0,酒…酒…肉…肉…
4006007,神秘老人,npc.task.n062,null,siwangshangu2,23,57,41001,4,2090001,null,0,0,年轻人，我来告诉你个秘密，都说我神秘，其实我就是有点神经。
4006008,山谷老者,npc.task.n001,null,siwangshangu2,2,42,41005,4,2090002,null,0,0,别看我老，我年轻时候。。
4006009,卦师范统,npc.task.n061,null,siwangshangu2,11,29,41021,4,2090003,null,0,0,看着我的刀，允许你重新喊下我。
4006010,巡守统领,npc.task.n060,null,siwangshangu2,25,15,41051,4,2090004,null,0,0,来这里的人绝对一个比一个变态。
4006011,沉思者,npc.task.n001,null,siwangshangu2,34,28,41052,4,2090005,null,0,0,我其实是拉肚子。
4007001,攻城管理员,npc.kingcity,null,kingcity,75,77,41042,4,2100001,null,0,0,攻城拔寨是件简单的事情吗？
4007002,皇宫守卫,npc.kingguard,null,kingcity,24,18,41051,4,0,null,0,0,大家排好队，接受检查， 不准携带武器。
4008001,BOSS之家2层传送员,npc.boss2,null,bosshome1f,38,48,41042,4,0,null,0,0,哪里不会就点我。
4008002,BOSS之家3层传送员,npc.boss3,null,bosshome2f,16,22,41042,4,0,null,0,0,哪里不会就点我。
4009001,神威魔狱传送员,npc.shengwei,null,swmy1,37,53,41042,4,0,null,0,0,神，魔，你敢去吗？我送你。
4009002,神威魔狱传送员,npc.shengwei,null,swmy2,5,16,41042,4,0,null,0,0,神，魔，你敢去吗？我送你。
4009003,神威魔狱传送员,npc.shengwei,null,swmy3,20,71,41042,4,0,null,0,0,神，魔，你敢去吗？我送你。
4009004,神威魔狱传送员,npc.shengwei,null,swmy4,77,33,41042,4,0,null,0,0,神，魔，你敢去吗？我送你。
4009005,神威魔狱传送员,npc.shengwei,null,swmy5,47,103,41042,4,0,null,0,0,神，魔，你敢去吗？我送你。
4009006,神威魔狱传送员,npc.shengwei,null,swmy6,79,66,41042,4,0,null,0,0,神，魔，你敢去吗？我送你。
4009007,神威魔狱传送员,npc.shengwei,null,swmy7,57,30,41042,4,0,null,0,0,神，魔，你敢去吗？我送你。
4009008,神威魔狱传送员,npc.shengwei,null,swmy8,8,11,41042,4,0,null,0,0,神，魔，你敢去吗？我送你。
4009009,神威魔狱传送员,npc.shengwei,null,swmy9,70,24,41042,4,0,null,0,0,神，魔，你敢去吗？我送你。
4010001,领取奖励,npc.jyg9,null,jingying9,20,24,41042,4,0,null,0,0,好处都被你抢走了
