怪物ID,模型id,触发脚本,攻击AI,显示名,技能类型,技能资源,目标特效,等级,目标特效,视野范围,获得经验,获得内功,血量,魔量,最小物防,最大物防,最小法防,最大法防,最小物攻,最大物攻,最小法攻,最大法攻,闪避,命中,等待时间,等待时间,移动速度,施放技能间隔时间,头像,喊话间隔,子类型,掉落组ID,巡逻范围,追击范围,是否可以被撞,切换目标ai类型,切换目标间隔,伤害系数,距离仇仇恨系数,编辑器目录,类型,怪物组别,传送点id,默认AI,巡逻速度,尸体消失时间,刷新时间,方向固定,暴击率,抗暴击,物理攻击减免,魔法减免,回血速度,是否显示刷新公告,是否显示掉落公告,BOSS积分,功能ID,功能参数,默认对话,是否会喊话,随机喊话,简单掉落ID,武器形象,翅膀形象,称号形象,采集时间,是否显示怪物归属,死亡是否显示墓碑
302104,33000,default,70007,白虎4级,0,0,0,4,0,9,70000,0,900000,0,10000,170,10000,170,0,0,15500,1550,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士白虎,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302105,33000,default,70007,白虎5级,0,0,0,5,0,9,200000,0,1000000,0,10000,180,10000,180,0,0,16000,1700,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士白虎,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302106,33000,default,70007,白虎6级,0,0,0,6,0,9,500000,0,1100000,0,10000,190,10000,190,0,0,16500,1850,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士白虎,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302107,33000,default,70007,白虎7级,0,0,0,7,0,9,0,0,1200000,0,10000,200,10000,200,0,0,17000,2000,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士白虎,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
303001,20004,default,50001,护卫一阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神1,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60006,0,0,0,0,0
303002,20005,default,50001,护卫二阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神2,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60007,0,0,0,0,0
303003,20006,default,50001,护卫三阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神3,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60008,0,0,0,0,0
303004,20007,default,50001,护卫四阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神4,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60009,0,0,0,0,0
303005,20008,default,50001,护卫五阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神5,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60010,0,0,0,0,0
303006,20009,default,50001,护卫六阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神6,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60011,0,0,0,0,0
303007,20010,default,50001,护卫七阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神7,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60012,0,0,0,0,0
303008,20011,default,50001,护卫八阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神8,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60013,0,0,0,0,0
303009,20012,default,50001,护卫九阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神9,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60014,0,0,0,0,0
303010,20013,default,50001,护卫十阶,0,0,0,1,0,9,0,0,10,0,0,0,0,0,0,0,0,0,10,20,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,战神10,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60015,0,0,0,0,0
304001,41059,default,50001,女神,0,0,0,1,0,9,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,850,0,0,0,0,3,10,0,0,0,0,0,女神,3,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
304002,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,200,400,200,400,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神1层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304003,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,333,600,333,600,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神2层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304004,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,466,800,466,800,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神3层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304005,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,600,1000,600,1000,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神4层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304006,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,733,1200,733,1200,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神5层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304007,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,866,1400,866,1400,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神6层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304008,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,1000,1600,1000,1600,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神7层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304009,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,1133,1800,1133,1800,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神8层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304010,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,1266,2000,1266,2000,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神9层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304011,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,1400,2200,1400,2200,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神10层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304012,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,1533,2400,1533,2400,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神11层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304013,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,1666,2600,1666,2600,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神12层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304014,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,1800,2800,1800,2800,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神13层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304015,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,1933,3000,1933,3000,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神14层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304016,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,2066,3200,2066,3200,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神15层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304017,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,2200,3400,2200,3400,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神16层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304018,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,2333,3600,2333,3600,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神17层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304019,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,2466,3800,2466,3800,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神18层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304020,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,2600,4000,2600,4000,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神19层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
304021,20026,default,70005,守护法神,0,0,0,1,0,0,0,0,10000,0,99999,99999,99999,99999,2733,4200,2733,4200,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,守护法神20层,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,70010,0,0,0,0
4002028,41071,default,80001,大刀守卫,0,0,0,1,0,0,0,0,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,盟重省NPC,4,0,0,neutral,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,我是对话面板文字,0,default,0,0,0,0,0,0,0
4005010,41071,default,80001,大刀守卫,0,0,0,1,0,0,0,0,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,比奇城NPC,4,0,0,neutral,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,我是对话面板文字,0,default,0,0,0,0,0,0,0
#新手村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001001,31000,default,50001,鸡,0,0,0,1,0,6,1,1,5,0,1,1,1,1,2,4,2,4,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010001,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001002,31002,default,50001,稻草人,0,0,0,2,0,6,1,1,20,0,1,1,1,1,2,5,2,5,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010002,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001003,31001,default,50001,鹿,0,0,0,4,0,6,1,1,15,0,1,1,1,1,2,6,2,6,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010003,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001004,31576,default,50001,多钩猫,0,0,0,6,0,6,2,1,45,0,1,1,1,1,3,7,3,7,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010004,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001008,31009,default,50001,洞蛆,0,0,0,8,0,6,2,2,55,0,2,2,2,2,4,10,4,10,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010005,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001005,31517,default,50001,骷髅,0,0,0,10,0,6,2,2,60,0,1,1,1,1,3,8,3,8,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010006,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001012,31516,default,50001,骷髅守卫,0,0,0,14,0,6,2,2,65,0,2,2,2,2,8,17,8,17,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010007,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001013,31105,default,50001,骷髅战将,0,0,0,16,0,6,2,2,80,0,2,2,2,2,9,19,9,19,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010008,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001006,31010,default,50001,僵尸,0,0,0,18,0,6,3,3,110,0,1,1,1,1,3,8,3,8,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010009,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001007,31013,default,50001,和尚僵尸,0,0,0,20,0,6,3,3,130,0,2,2,2,2,4,9,4,9,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010010,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001010,31575,default,50001,爬行僵尸,0,0,0,22,0,6,5,3,140,0,2,2,2,2,6,13,6,13,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010011,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001009,31014,default,50030,电僵尸,0,0,0,24,0,6,5,3,150,0,2,2,2,2,5,12,5,12,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,0,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001015,31016,default,50001,旱魃,0,0,0,26,0,6,22,8,450,0,2,2,2,2,11,23,11,23,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,3010012,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1001014,31508,default,50001,骷髅精灵,0,0,0,24,0,6,12,5,250,0,2,2,2,2,10,21,10,21,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,新手村,4,0,0,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
#矿洞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002001,31008,default,50001,矿洞蝙蝠,0,0,0,31,0,6,24,9,495,0,2,2,1,1,14,29,14,29,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,矿洞一层,4,0,3020001,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1002002,31009,default,50001,恶蛆,0,0,0,33,0,6,29,10,585,0,2,2,1,1,15,31,15,31,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,矿洞一层,4,0,3020002,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1002003,31013,default,50001,和尚僵尸,0,0,0,35,0,6,31,11,630,0,2,2,1,1,17,34,17,34,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,矿洞一层,4,0,3020003,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1003001,31517,default,50001,骷髅,0,0,0,37,0,6,33,11,670,0,2,2,1,1,18,37,18,37,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,矿洞二层,4,0,3030001,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1003002,31014,default,50030,电僵尸,0,0,0,38,0,6,38,12,760,0,2,2,1,1,18,38,18,38,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,矿洞二层,4,0,3030002,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1003003,31530,default,50001,尸卫,0,0,0,39,0,6,40,13,805,0,2,2,1,1,19,39,19,39,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,矿洞二层,4,0,3030003,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1004001,31530,default,50001,尸卫,0,0,0,39,0,6,40,13,805,0,2,2,1,1,19,39,19,39,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,矿洞三层,4,0,0,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
#毒蛇山谷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005001,31018,default,50001,红蛇,0,0,0,41,0,6,57,17,1140,0,1,1,1,1,20,42,20,42,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,毒蛇山谷1,4,0,3040001,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1005002,31514,default,50001,毒蜘蛛,0,0,0,43,0,6,71,21,1430,0,1,1,1,1,21,44,21,44,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,毒蛇山谷1,4,0,3040002,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1005003,31019,default,50001,食人花,0,0,0,42,0,6,64,19,1285,0,1,1,1,1,21,43,21,43,10,15,0,0,1,2500,0,0,4001,0,3,6,0,0,0,0,0,毒蛇山谷1,4,0,3040003,nomove,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1005004,31022,default,50001,半兽人,0,0,0,44,0,6,78,23,1575,0,1,1,1,1,22,45,22,45,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,毒蛇山谷1,4,0,3040004,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1006001,31601,default,50001,虎蛇,0,0,0,45,0,6,86,25,1720,0,1,1,1,1,22,46,22,46,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,毒蛇山谷2,4,0,3050001,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1006002,31579,default,50001,森林雪人,0,0,0,46,0,6,93,26,1865,0,1,1,1,1,23,47,23,47,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,毒蛇山谷2,4,0,3050002,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
1006003,31018,default,50001,红蛇,0,0,0,46,0,6,93,26,1865,0,1,1,1,1,23,47,23,47,10,15,1000,1500,1,2500,0,0,4001,0,3,6,0,0,0,0,0,毒蛇山谷2,4,0,3050003,default,20000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,default,1,我是怪物喊话,0,0,0,0,0,0,0
