#v100,,,,,,,,,,,,,,,,,,
#编号:区分不同功能(100起),lv等级,最小物理,最大物理,最小魔法,最大魔法,最小道术,最大道术,最小物防,最大物防,最小魔防,最大魔防,HP,MP,升级需求,,,,
#武器,,,,,,,,,,,,,,,,,,
110,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
110,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
110,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
110,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
110,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
110,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#头盔,,,,,,,,,,,,,,,,,,
120,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
120,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
120,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
120,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
120,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
120,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
120,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
120,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
120,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
120,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
120,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
120,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
120,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
120,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
120,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
120,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
120,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
120,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
120,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
120,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#项链,,,,,,,,,,,,,,,,,,
130,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
130,2,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0
130,3,2,7,2,7,2,7,0,0,0,0,0,0,0,0,0,0,0
130,4,4,12,4,12,4,12,0,0,0,0,0,0,0,0,0,0,0
130,5,6,19,6,19,6,19,0,0,0,0,0,0,0,0,0,0,0
130,6,9,28,9,28,9,28,0,0,0,0,0,0,0,0,0,0,0
130,7,12,38,12,38,12,38,0,0,0,0,0,0,0,0,0,0,0
130,8,16,51,16,51,16,51,0,0,0,0,0,0,0,0,0,0,0
130,9,20,63,20,63,20,63,0,0,0,0,0,0,0,0,0,0,0
130,10,25,79,25,79,25,79,0,0,0,0,0,0,0,0,0,0,0
130,11,31,96,31,96,31,96,0,0,0,0,0,0,0,0,0,0,0
130,12,37,115,37,115,37,115,0,0,0,0,0,0,0,0,0,0,0
130,13,44,136,44,136,44,136,0,0,0,0,0,0,0,0,0,0,0
130,14,51,159,51,159,51,159,0,0,0,0,0,0,0,0,0,0,0
130,15,59,183,59,183,59,183,0,0,0,0,0,0,0,0,0,0,0
130,16,67,210,67,210,67,210,0,0,0,0,0,0,0,0,0,0,0
130,17,76,238,76,238,76,238,0,0,0,0,0,0,0,0,0,0,0
130,18,86,267,86,267,86,267,0,0,0,0,0,0,0,0,0,0,0
130,19,96,299,96,299,96,299,0,0,0,0,0,0,0,0,0,0,0
130,20,106,332,106,332,106,332,0,0,0,0,0,0,0,0,0,0,0
#左手镯,,,,,,,,,,,,,,,,,,
140,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
140,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
140,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
140,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
140,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
140,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
140,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
140,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
140,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
140,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
140,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
140,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
140,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
140,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
140,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
140,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
140,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
140,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
140,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
140,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#右手镯,,,,,,,,,,,,,,,,,,
150,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
140,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
140,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
140,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
140,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
140,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
140,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
140,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
140,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
140,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
140,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
140,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
140,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
140,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
140,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
140,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
140,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
140,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
140,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
140,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#左戒指,,,,,,,,,,,,,,,,,,
160,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
160,2,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0
160,3,2,7,2,7,2,7,0,0,0,0,0,0,0,0,0,0,0
160,4,4,12,4,12,4,12,0,0,0,0,0,0,0,0,0,0,0
160,5,6,19,6,19,6,19,0,0,0,0,0,0,0,0,0,0,0
160,6,9,28,9,28,9,28,0,0,0,0,0,0,0,0,0,0,0
160,7,12,38,12,38,12,38,0,0,0,0,0,0,0,0,0,0,0
160,8,16,51,16,51,16,51,0,0,0,0,0,0,0,0,0,0,0
160,9,20,63,20,63,20,63,0,0,0,0,0,0,0,0,0,0,0
160,10,25,79,25,79,25,79,0,0,0,0,0,0,0,0,0,0,0
160,11,31,96,31,96,31,96,0,0,0,0,0,0,0,0,0,0,0
160,12,37,115,37,115,37,115,0,0,0,0,0,0,0,0,0,0,0
160,13,44,136,44,136,44,136,0,0,0,0,0,0,0,0,0,0,0
160,14,51,159,51,159,51,159,0,0,0,0,0,0,0,0,0,0,0
160,15,59,183,59,183,59,183,0,0,0,0,0,0,0,0,0,0,0
160,16,67,210,67,210,67,210,0,0,0,0,0,0,0,0,0,0,0
160,17,76,238,76,238,76,238,0,0,0,0,0,0,0,0,0,0,0
160,18,86,267,86,267,86,267,0,0,0,0,0,0,0,0,0,0,0
160,19,96,299,96,299,96,299,0,0,0,0,0,0,0,0,0,0,0
160,20,106,332,106,332,106,332,0,0,0,0,0,0,0,0,0,0,0
#右戒指,,,,,,,,,,,,,,,,,,
170,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
170,2,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0
170,3,2,7,2,7,2,7,0,0,0,0,0,0,0,0,0,0,0
170,4,4,12,4,12,4,12,0,0,0,0,0,0,0,0,0,0,0
170,5,6,19,6,19,6,19,0,0,0,0,0,0,0,0,0,0,0
170,6,9,28,9,28,9,28,0,0,0,0,0,0,0,0,0,0,0
170,7,12,38,12,38,12,38,0,0,0,0,0,0,0,0,0,0,0
170,8,16,51,16,51,16,51,0,0,0,0,0,0,0,0,0,0,0
170,9,20,63,20,63,20,63,0,0,0,0,0,0,0,0,0,0,0
170,10,25,79,25,79,25,79,0,0,0,0,0,0,0,0,0,0,0
170,11,31,96,31,96,31,96,0,0,0,0,0,0,0,0,0,0,0
170,12,37,115,37,115,37,115,0,0,0,0,0,0,0,0,0,0,0
170,13,44,136,44,136,44,136,0,0,0,0,0,0,0,0,0,0,0
170,14,51,159,51,159,51,159,0,0,0,0,0,0,0,0,0,0,0
170,15,59,183,59,183,59,183,0,0,0,0,0,0,0,0,0,0,0
170,16,67,210,67,210,67,210,0,0,0,0,0,0,0,0,0,0,0
170,17,76,238,76,238,76,238,0,0,0,0,0,0,0,0,0,0,0
170,18,86,267,86,267,86,267,0,0,0,0,0,0,0,0,0,0,0
170,19,96,299,96,299,96,299,0,0,0,0,0,0,0,0,0,0,0
170,20,106,332,106,332,106,332,0,0,0,0,0,0,0,0,0,0,0
#鞋子,,,,,,,,,,,,,,,,,,
180,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
180,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
180,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
180,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
180,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
180,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
180,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
180,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
180,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
180,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
180,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
180,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
180,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
180,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
180,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
180,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
180,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
180,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
180,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
180,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#腰带,,,,,,,,,,,,,,,,,,
190,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
190,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
190,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
190,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
190,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
190,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
190,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
190,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
190,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
190,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
190,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
190,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
190,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
190,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
190,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
190,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
190,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
190,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
190,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
190,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#玉佩,,,,,,,,,,,,,,,,,,
200,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
200,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
200,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
200,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
200,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
200,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
200,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
200,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
200,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
200,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
200,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
200,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
200,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
200,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
200,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
200,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
200,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
200,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
200,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
200,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#护盾,,,,,,,,,,,,,,,,,,
210,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
210,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
210,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
210,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
210,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
210,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
210,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
210,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
210,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
210,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
210,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
210,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
210,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
210,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
210,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
210,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
210,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
210,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
210,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
210,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#护心镜,,,,,,,,,,,,,,,,,,
220,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
220,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
220,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
220,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
220,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
220,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
220,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
220,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
220,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
220,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
220,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
220,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
220,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
220,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
220,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
220,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
220,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
220,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
220,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
220,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#面巾,,,,,,,,,,,,,,,,,,
230,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
230,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
230,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
230,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
230,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
230,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
230,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
230,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
230,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
230,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
230,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
230,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
230,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
230,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
230,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
230,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
230,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
230,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
230,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
230,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#龙心,,,,,,,,,,,,,,,,,,
240,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
240,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
240,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
240,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
240,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
240,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
240,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
240,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
240,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
240,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
240,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
240,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
240,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
240,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
240,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
240,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
240,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
240,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
240,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
240,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#狼牙,,,,,,,,,,,,,,,,,,
250,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
250,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
250,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
250,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
250,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
250,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
250,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
250,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
250,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
250,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
250,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
250,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
250,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
250,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
250,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
250,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
250,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
250,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
250,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
250,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#龙骨,,,,,,,,,,,,,,,,,,
260,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
260,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
260,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
260,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
260,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
260,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
260,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
260,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
260,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
260,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
260,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
260,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
260,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
260,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
260,15,31,98,31,98,31,98,51,160,51,160,0,0,0,0,0,0,0
260,16,36,112,36,112,36,112,59,183,59,183,0,0,0,0,0,0,0
260,17,41,127,41,127,41,127,66,207,66,207,0,0,0,0,0,0,0
260,18,46,143,46,143,46,143,75,233,75,233,0,0,0,0,0,0,0
260,19,51,159,51,159,51,159,83,261,83,261,0,0,0,0,0,0,0
260,20,57,177,57,177,57,177,93,290,93,290,0,0,0,0,0,0,0
#虎符,,,,,,,,,,,,,,,,,,
270,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
270,2,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0
270,3,2,7,2,7,2,7,0,0,0,0,0,0,0,0,0,0,0
270,4,4,12,4,12,4,12,0,0,0,0,0,0,0,0,0,0,0
270,5,6,19,6,19,6,19,0,0,0,0,0,0,0,0,0,0,0
270,6,9,28,9,28,9,28,0,0,0,0,0,0,0,0,0,0,0
270,7,12,38,12,38,12,38,0,0,0,0,0,0,0,0,0,0,0
270,8,16,51,16,51,16,51,0,0,0,0,0,0,0,0,0,0,0
270,9,20,63,20,63,20,63,0,0,0,0,0,0,0,0,0,0,0
270,10,25,79,25,79,25,79,0,0,0,0,0,0,0,0,0,0,0
