编号,女神关数,女神波数,总奖励物品,奖励物品数量,奖励物品绑定状态
84,9,4,21000003;23060001;27010002,3;1;1,1;1;1
85,9,5,21000003;23060001;27010002,3;1;2,1;1;1
86,9,6,21000003;23060001;27010002,3;3;2,1;1;1
87,9,7,21000003;23060001;27010002,5;3;2,1;1;1
88,9,8,21000003;23060001;27010002,5;5;3,1;1;1
89,9,9,21000003;23060001;27010002,5;5;3,1;1;1
90,9,10,21000003;23060001;27010002,5;5;4,1;1;1
91,10,1,21000003,1,1
92,10,2,21000003;23060001,1;2,1;1
93,10,3,21000003;23060001;27010002,1;2;1,1;1;1
94,10,4,21000003;23060001;27010002,3;2;1,1;1;1
95,10,5,21000003;23060001;27010002,3;2;2,1;1;1
96,10,6,21000003;23060001;27010002,3;4;2,1;1;1
97,10,7,21000003;23060001;27010002,5;4;2,1;1;1
98,10,8,21000003;23060001;27010002,5;6;3,1;1;1
99,10,9,21000003;23060001;27010002,5;6;3,1;1;1
100,10,10,21000003;23060001;27010002,5;6;4,1;1;1
101,11,1,21000003,1,1
102,11,2,21000003;23060001,1;2,1;1
103,11,3,21000003;23060001;27010003,1;2;1,1;1;1
104,11,4,21000003;23060001;27010003,3;2;1,1;1;1
105,11,5,21000003;23060001;27010003,3;2;2,1;1;1
106,11,6,21000003;23060001;27010003,3;4;2,1;1;1
107,11,7,21000003;23060001;27010003,5;4;2,1;1;1
108,11,8,21000003;23060001;27010003,5;6;3,1;1;1
109,11,9,21000003;23060001;27010003,5;6;3,1;1;1
110,11,10,21000003;23060001;27010003,5;6;4,1;1;1
111,12,1,21000003,2,1
112,12,2,21000003;23060001,2;2,1;1
113,12,3,21000003;23060001;27010003,2;2;1,1;1;1
114,12,4,21000003;23060001;27010003,4;2;1,1;1;1
115,12,5,21000003;23060001;27010003,4;2;2,1;1;1
116,12,6,21000003;23060001;27010003,4;4;2,1;1;1
117,12,7,21000003;23060001;27010003,6;4;2,1;1;1
118,12,8,21000003;23060001;27010003,6;6;3,1;1;1
119,12,9,21000003;23060001;27010003,6;6;3,1;1;1
120,12,10,21000003;23060001;27010003,6;6;4,1;1;1
121,13,1,21000003,2,1
122,13,2,21000003;23060001,2;2,1;1
123,13,3,21000003;23060001;27010003,2;2;1,1;1;1
124,13,4,21000003;23060001;27010003,4;2;1,1;1;1
125,13,5,21000003;23060001;27010003,4;2;2,1;1;1
126,13,6,21000003;23060001;27010003,4;4;2,1;1;1
127,13,7,21000003;23060001;27010003,6;4;2,1;1;1
128,13,8,21000003;23060001;27010003,6;6;3,1;1;1
129,13,9,21000003;23060001;27010003,6;6;3,1;1;1
130,13,10,21000003;23060001;27010003,6;6;4,1;1;1
131,14,1,21000003,2,1
132,14,2,21000003;23060001,2;2,1;1
133,14,3,21000003;23060001;27010003,2;2;1,1;1;1
134,14,4,21000003;23060001;27010003,4;2;1,1;1;1
135,14,5,21000003;23060001;27010003,4;2;2,1;1;1
136,14,6,21000003;23060001;27010003,4;4;2,1;1;1
137,14,7,21000003;23060001;27010003,6;4;2,1;1;1
138,14,8,21000003;23060001;27010003,6;6;3,1;1;1
139,14,9,21000003;23060001;27010003,6;6;3,1;1;1
140,14,10,21000003;23060001;27010003,6;6;4,1;1;1
141,15,1,21000003,2,1
142,15,2,21000003;23060001,2;2,1;1
143,15,3,21000003;23060001;27010003,2;2;1,1;1;1
144,15,4,21000003;23060001;27010003,4;2;1,1;1;1
145,15,5,21000003;23060001;27010003,4;2;2,1;1;1
146,15,6,21000003;23060001;27010003,4;4;2,1;1;1
147,15,7,21000003;23060001;27010003,6;4;2,1;1;1
148,15,8,21000003;23060001;27010003,6;6;3,1;1;1
149,15,9,21000003;23060001;27010003,6;6;3,1;1;1
150,15,10,21000003;23060001;27010003,6;6;4,1;1;1
151,16,1,21000003,2,1
152,16,2,21000003;23060001,2;2,1;1
153,16,3,21000003;23060001;27010004,2;2;1,1;1;1
154,16,4,21000003;23060001;27010004,4;2;1,1;1;1
155,16,5,21000003;23060001;27010004,4;2;2,1;1;1
156,16,6,21000003;23060001;27010004,4;4;2,1;1;1
157,16,7,21000003;23060001;27010004,6;4;2,1;1;1
158,16,8,21000003;23060001;27010004,6;6;3,1;1;1
159,16,9,21000003;23060001;27010004,6;6;3,1;1;1
160,16,10,21000003;23060001;27010004,6;6;4,1;1;1
161,17,1,21000003,2,1
162,17,2,21000003;23060001,2;2,1;1
163,17,3,21000003;23060001;27010004,2;2;1,1;1;1
164,17,4,21000003;23060001;27010004,4;2;1,1;1;1
165,17,5,21000003;23060001;27010004,4;2;2,1;1;1
166,17,6,21000003;23060001;27010004,4;4;2,1;1;1
167,17,7,21000003;23060001;27010004,6;4;2,1;1;1
168,17,8,21000003;23060001;27010004,6;6;3,1;1;1
169,17,9,21000003;23060001;27010004,6;6;3,1;1;1
170,17,10,21000003;23060001;27010004,6;6;4,1;1;1
171,18,1,21000003,2,1
172,18,2,21000003;23060001,2;2,1;1
173,18,3,21000003;23060001;27010004,2;2;1,1;1;1
174,18,4,21000003;23060001;27010004,4;2;1,1;1;1
175,18,5,21000003;23060001;27010004,4;2;2,1;1;1
176,18,6,21000003;23060001;27010004,4;4;2,1;1;1
177,18,7,21000003;23060001;27010004,7;4;2,1;1;1
178,18,8,21000003;23060001;27010004,7;7;3,1;1;1
179,18,9,21000003;23060001;27010004,7;7;3,1;1;1
180,18,10,21000003;23060001;27010004,7;7;4,1;1;1
181,19,1,21000003,2,1
182,19,2,21000003;23060001,2;2,1;1
183,19,3,21000003;23060001;27010004,2;2;1,1;1;1
184,19,4,21000003;23060001;27010004,5;2;1,1;1;1
185,19,5,21000003;23060001;27010004,5;2;2,1;1;1
186,19,6,21000003;23060001;27010004,5;5;2,1;1;1
187,19,7,21000003;23060001;27010004,8;5;2,1;1;1
188,19,8,21000003;23060001;27010004,8;8;3,1;1;1
189,19,9,21000003;23060001;27010004,8;8;3,1;1;1
190,19,10,21000003;23060001;27010004,8;8;4,1;1;1
191,20,1,21000003,3,1
192,20,2,21000003;23060001,3;3,1;1
193,20,3,21000003;23060001;27010004,3;3;1,1;1;1
194,20,4,21000003;23060001;27010004,6;3;1,1;1;1
195,20,5,21000003;23060001;27010004,6;3;2,1;1;1
196,20,6,21000003;23060001;27010004,6;6;2,1;1;1
197,20,7,21000003;23060001;27010004,9;6;2,1;1;1
198,20,8,21000003;23060001;27010004,9;9;3,1;1;1
199,20,9,21000003;23060001;27010004,9;9;3,1;1;1
200,20,10,21000003;23060001;27010004,9;9;4,1;1;1
