id,等级,技能类型,名字,图标,消耗贡献度,增加属性类型,增加属性值,战士血量,战士魔法量,法师血量,法师魔法量,道士血量,道士魔法量,开启所需技能ID
,,,,,,,,,,,,,,
int,int,int,string,string,int,int[],int[],int,int,int,int,int,int,int
20086,86,2,攻击上限,gjsx,60000,1005;1007;1009,683;683;683,0,0,0,0,0,0,0
20087,87,2,攻击上限,gjsx,60000,1005;1007;1009,691;691;691,0,0,0,0,0,0,0
20088,88,2,攻击上限,gjsx,60000,1005;1007;1009,699;699;699,0,0,0,0,0,0,0
20089,89,2,攻击上限,gjsx,60000,1005;1007;1009,707;707;707,0,0,0,0,0,0,0
20090,90,2,攻击上限,gjsx,60000,1005;1007;1009,715;715;715,0,0,0,0,0,0,0
20091,91,2,攻击上限,gjsx,65000,1005;1007;1009,723;723;723,0,0,0,0,0,0,0
20092,92,2,攻击上限,gjsx,65000,1005;1007;1009,731;731;731,0,0,0,0,0,0,0
20093,93,2,攻击上限,gjsx,65000,1005;1007;1009,739;739;739,0,0,0,0,0,0,0
20094,94,2,攻击上限,gjsx,65000,1005;1007;1009,747;747;747,0,0,0,0,0,0,0
20095,95,2,攻击上限,gjsx,65000,1005;1007;1009,755;755;755,0,0,0,0,0,0,0
20096,96,2,攻击上限,gjsx,65000,1005;1007;1009,763;763;763,0,0,0,0,0,0,0
20097,97,2,攻击上限,gjsx,65000,1005;1007;1009,771;771;771,0,0,0,0,0,0,0
20098,98,2,攻击上限,gjsx,65000,1005;1007;1009,779;779;779,0,0,0,0,0,0,0
20099,99,2,攻击上限,gjsx,65000,1005;1007;1009,787;787;787,0,0,0,0,0,0,0
20100,100,2,攻击上限,gjsx,65000,1005;1007;1009,796;796;796,0,0,0,0,0,0,0
30001,1,3,物防下限,wfxx,20000,1010,2,0,0,0,0,0,0,20030
30002,2,3,物防下限,wfxx,20000,1010,3,0,0,0,0,0,0,0
30003,3,3,物防下限,wfxx,20000,1010,4,0,0,0,0,0,0,0
30004,4,3,物防下限,wfxx,20000,1010,5,0,0,0,0,0,0,0
30005,5,3,物防下限,wfxx,20000,1010,7,0,0,0,0,0,0,0
30006,6,3,物防下限,wfxx,20000,1010,9,0,0,0,0,0,0,0
30007,7,3,物防下限,wfxx,20000,1010,11,0,0,0,0,0,0,0
30008,8,3,物防下限,wfxx,20000,1010,13,0,0,0,0,0,0,0
30009,9,3,物防下限,wfxx,20000,1010,15,0,0,0,0,0,0,0
30010,10,3,物防下限,wfxx,20000,1010,17,0,0,0,0,0,0,0
30011,11,3,物防下限,wfxx,25000,1010,19,0,0,0,0,0,0,0
30012,12,3,物防下限,wfxx,25000,1010,21,0,0,0,0,0,0,0
30013,13,3,物防下限,wfxx,25000,1010,23,0,0,0,0,0,0,0
30014,14,3,物防下限,wfxx,25000,1010,25,0,0,0,0,0,0,0
30015,15,3,物防下限,wfxx,25000,1010,27,0,0,0,0,0,0,0
30016,16,3,物防下限,wfxx,25000,1010,29,0,0,0,0,0,0,0
30017,17,3,物防下限,wfxx,25000,1010,32,0,0,0,0,0,0,0
30018,18,3,物防下限,wfxx,25000,1010,34,0,0,0,0,0,0,0
30019,19,3,物防下限,wfxx,25000,1010,36,0,0,0,0,0,0,0
30020,20,3,物防下限,wfxx,25000,1010,38,0,0,0,0,0,0,0
30021,21,3,物防下限,wfxx,30000,1010,40,0,0,0,0,0,0,0
30022,22,3,物防下限,wfxx,30000,1010,42,0,0,0,0,0,0,0
30023,23,3,物防下限,wfxx,30000,1010,44,0,0,0,0,0,0,0
30024,24,3,物防下限,wfxx,30000,1010,46,0,0,0,0,0,0,0
30025,25,3,物防下限,wfxx,30000,1010,48,0,0,0,0,0,0,0
30026,26,3,物防下限,wfxx,30000,1010,50,0,0,0,0,0,0,0
30027,27,3,物防下限,wfxx,30000,1010,52,0,0,0,0,0,0,0
30028,28,3,物防下限,wfxx,30000,1010,54,0,0,0,0,0,0,0
30029,29,3,物防下限,wfxx,30000,1010,56,0,0,0,0,0,0,0
30030,30,3,物防下限,wfxx,30000,1010,58,0,0,0,0,0,0,0
30031,31,3,物防下限,wfxx,35000,1010,60,0,0,0,0,0,0,0
30032,32,3,物防下限,wfxx,35000,1010,62,0,0,0,0,0,0,0
30033,33,3,物防下限,wfxx,35000,1010,64,0,0,0,0,0,0,0
30034,34,3,物防下限,wfxx,35000,1010,66,0,0,0,0,0,0,0
30035,35,3,物防下限,wfxx,35000,1010,68,0,0,0,0,0,0,0
30036,36,3,物防下限,wfxx,35000,1010,70,0,0,0,0,0,0,0
30037,37,3,物防下限,wfxx,35000,1010,72,0,0,0,0,0,0,0
30038,38,3,物防下限,wfxx,35000,1010,74,0,0,0,0,0,0,0
30039,39,3,物防下限,wfxx,35000,1010,76,0,0,0,0,0,0,0
30040,40,3,物防下限,wfxx,35000,1010,78,0,0,0,0,0,0,0
30041,41,3,物防下限,wfxx,40000,1010,80,0,0,0,0,0,0,0
30042,42,3,物防下限,wfxx,40000,1010,82,0,0,0,0,0,0,0
30043,43,3,物防下限,wfxx,40000,1010,84,0,0,0,0,0,0,0
30044,44,3,物防下限,wfxx,40000,1010,86,0,0,0,0,0,0,0
30045,45,3,物防下限,wfxx,40000,1010,88,0,0,0,0,0,0,0
30046,46,3,物防下限,wfxx,40000,1010,90,0,0,0,0,0,0,0
30047,47,3,物防下限,wfxx,40000,1010,92,0,0,0,0,0,0,0
30048,48,3,物防下限,wfxx,40000,1010,94,0,0,0,0,0,0,0
30049,49,3,物防下限,wfxx,40000,1010,97,0,0,0,0,0,0,0
30050,50,3,物防下限,wfxx,40000,1010,99,0,0,0,0,0,0,0
30051,51,3,物防下限,wfxx,45000,1010,101,0,0,0,0,0,0,0
30052,52,3,物防下限,wfxx,45000,1010,103,0,0,0,0,0,0,0
30053,53,3,物防下限,wfxx,45000,1010,105,0,0,0,0,0,0,0
30054,54,3,物防下限,wfxx,45000,1010,107,0,0,0,0,0,0,0
30055,55,3,物防下限,wfxx,45000,1010,109,0,0,0,0,0,0,0
30056,56,3,物防下限,wfxx,45000,1010,111,0,0,0,0,0,0,0
30057,57,3,物防下限,wfxx,45000,1010,113,0,0,0,0,0,0,0
30058,58,3,物防下限,wfxx,45000,1010,115,0,0,0,0,0,0,0
30059,59,3,物防下限,wfxx,45000,1010,117,0,0,0,0,0,0,0
30060,60,3,物防下限,wfxx,45000,1010,119,0,0,0,0,0,0,0
30061,61,3,物防下限,wfxx,50000,1010,121,0,0,0,0,0,0,0
30062,62,3,物防下限,wfxx,50000,1010,123,0,0,0,0,0,0,0
30063,63,3,物防下限,wfxx,50000,1010,125,0,0,0,0,0,0,0
30064,64,3,物防下限,wfxx,50000,1010,127,0,0,0,0,0,0,0
30065,65,3,物防下限,wfxx,50000,1010,129,0,0,0,0,0,0,0
30066,66,3,物防下限,wfxx,50000,1010,131,0,0,0,0,0,0,0
30067,67,3,物防下限,wfxx,50000,1010,133,0,0,0,0,0,0,0
30068,68,3,物防下限,wfxx,50000,1010,135,0,0,0,0,0,0,0
30069,69,3,物防下限,wfxx,50000,1010,137,0,0,0,0,0,0,0
30070,70,3,物防下限,wfxx,50000,1010,139,0,0,0,0,0,0,0
30071,71,3,物防下限,wfxx,55000,1010,141,0,0,0,0,0,0,0
30072,72,3,物防下限,wfxx,55000,1010,143,0,0,0,0,0,0,0
30073,73,3,物防下限,wfxx,55000,1010,145,0,0,0,0,0,0,0
30074,74,3,物防下限,wfxx,55000,1010,147,0,0,0,0,0,0,0
30075,75,3,物防下限,wfxx,55000,1010,149,0,0,0,0,0,0,0
30076,76,3,物防下限,wfxx,55000,1010,151,0,0,0,0,0,0,0
30077,77,3,物防下限,wfxx,55000,1010,153,0,0,0,0,0,0,0
30078,78,3,物防下限,wfxx,55000,1010,155,0,0,0,0,0,0,0
30079,79,3,物防下限,wfxx,55000,1010,157,0,0,0,0,0,0,0
30080,80,3,物防下限,wfxx,55000,1010,160,0,0,0,0,0,0,0
30081,81,3,物防下限,wfxx,60000,1010,162,0,0,0,0,0,0,0
30082,82,3,物防下限,wfxx,60000,1010,164,0,0,0,0,0,0,0
30083,83,3,物防下限,wfxx,60000,1010,166,0,0,0,0,0,0,0
30084,84,3,物防下限,wfxx,60000,1010,168,0,0,0,0,0,0,0
30085,85,3,物防下限,wfxx,60000,1010,170,0,0,0,0,0,0,0
30086,86,3,物防下限,wfxx,60000,1010,172,0,0,0,0,0,0,0
30087,87,3,物防下限,wfxx,60000,1010,174,0,0,0,0,0,0,0
30088,88,3,物防下限,wfxx,60000,1010,176,0,0,0,0,0,0,0
30089,89,3,物防下限,wfxx,60000,1010,178,0,0,0,0,0,0,0
30090,90,3,物防下限,wfxx,60000,1010,180,0,0,0,0,0,0,0
30091,91,3,物防下限,wfxx,65000,1010,182,0,0,0,0,0,0,0
30092,92,3,物防下限,wfxx,65000,1010,184,0,0,0,0,0,0,0
30093,93,3,物防下限,wfxx,65000,1010,186,0,0,0,0,0,0,0
30094,94,3,物防下限,wfxx,65000,1010,188,0,0,0,0,0,0,0
30095,95,3,物防下限,wfxx,65000,1010,190,0,0,0,0,0,0,0
