#v100,,
#±àºÅ,µôÂä×éID,ÎïÆ·ID
#int,int,int
133,10006,12106061
134,10006,12106061
135,10006,12106071
136,10006,12106081
137,10006,13106031
138,10006,13106041
139,10006,13106051
140,10006,13106051
141,10006,13106061
142,10006,13106061
143,10006,13106071
144,10006,13106081
145,10007,11107031
146,10007,11107041
147,10007,11107051
148,10007,11107051
149,10007,11107061
150,10007,11107061
151,10007,11107071
152,10007,11107081
153,10007,12107031
154,10007,12107041
155,10007,12107051
156,10007,12107051
157,10007,12107061
158,10007,12107061
159,10007,12107071
160,10007,12107081
161,10007,13107031
162,10007,13107041
163,10007,13107051
164,10007,13107051
165,10007,13107061
166,10007,13107061
167,10007,13107071
168,10007,13107081
169,10008,11108031
170,10008,11108041
171,10008,11108051
172,10008,11108051
173,10008,11108061
174,10008,11108061
175,10008,11108071
176,10008,11108081
177,10008,12108031
178,10008,12108041
179,10008,12108051
180,10008,12108051
181,10008,12108061
182,10008,12108061
183,10008,12108071
184,10008,12108081
185,10008,13108031
186,10008,13108041
187,10008,13108051
188,10008,13108051
189,10008,13108061
190,10008,13108061
191,10008,13108071
192,10008,13108081
193,10009,11109031
194,10009,11109041
195,10009,11109051
196,10009,11109051
197,10009,11109061
198,10009,11109061
199,10009,11109071
200,10009,11109081
201,10009,12109031
202,10009,12109041
203,10009,12109051
204,10009,12109051
205,10009,12109061
206,10009,12109061
207,10009,12109071
208,10009,12109081
209,10009,13109031
210,10009,13109041
211,10009,13109051
212,10009,13109051
213,10009,13109061
214,10009,13109061
215,10009,13109071
216,10009,13109081
217,10010,11110031
218,10010,11110041
219,10010,11110051
220,10010,11110051
221,10010,11110061
222,10010,11110061
223,10010,11110071
224,10010,11110081
225,10010,12110031
226,10010,12110041
227,10010,12110051
228,10010,12110051
229,10010,12110061
230,10010,12110061
231,10010,12110071
232,10010,12110081
233,10010,13110031
234,10010,13110041
235,10010,13110051
236,10010,13110051
237,10010,13110061
238,10010,13110061
239,10010,13110071
240,10010,13110081
241,10011,11111031
242,10011,11111041
243,10011,11111051
244,10011,11111051
245,10011,11111061
246,10011,11111061
247,10011,11111071
248,10011,11111081
249,10011,12111031
250,10011,12111041
251,10011,12111051
252,10011,12111051
253,10011,12111061
254,10011,12111061
255,10011,12111071
256,10011,12111081
257,10011,13111031
258,10011,13111041
259,10011,13111051
260,10011,13111051
261,10011,13111061
262,10011,13111061
263,10011,13111071
264,10011,13111081
265,10012,11112031
266,10012,11112041
267,10012,11112051
268,10012,11112051
269,10012,11112061
270,10012,11112061
271,10012,11112071
272,10012,11112081
273,10012,12112031
274,10012,12112041
275,10012,12112051
276,10012,12112051
277,10012,12112061
278,10012,12112061
279,10012,12112071
280,10012,12112081
281,10012,13112031
282,10012,13112041
283,10012,13112051
284,10012,13112051
285,10012,13112061
286,10012,13112061
287,10012,13112071
288,10012,13112081
289,10013,11113031
290,10013,11113041
291,10013,11113051
292,10013,11113051
293,10013,11113061
294,10013,11113061
295,10013,11113071
296,10013,11113081
297,10013,12113031
298,10013,12113041
299,10013,12113051
300,10013,12113051
301,10013,12113061
302,10013,12113061
303,10013,12113071
304,10013,12113081
305,10013,13113031
306,10013,13113041
307,10013,13113051
308,10013,13113051
309,10013,13113061
310,10013,13113061
311,10013,13113071
312,10013,13113081
313,10014,11114031
314,10014,11114041
315,10014,11114051
316,10014,11114051
317,10014,11114061
318,10014,11114061
319,10014,11114071
320,10014,11114081
321,10014,12114031
322,10014,12114041
323,10014,12114051
324,10014,12114051
325,10014,12114061
326,10014,12114061
327,10014,12114071
328,10014,12114081
329,10014,13114031
330,10014,13114041
331,10014,13114051
332,10014,13114051
333,10014,13114061
334,10014,13114061
335,10014,13114071
336,10014,13114081
337,10015,11115031
338,10015,11115041
339,10015,11115051
340,10015,11115051
341,10015,11115061
342,10015,11115061
343,10015,11115071
344,10015,11115081
345,10015,12115031
346,10015,12115041
347,10015,12115051
348,10015,12115051
349,10015,12115061
350,10015,12115061
351,10015,12115071
352,10015,12115081
353,10015,13115031
354,10015,13115041
355,10015,13115051
356,10015,13115051
357,10015,13115061
358,10015,13115061
359,10015,13115071
360,10015,13115081
361,10016,11116031
362,10016,11116041
363,10016,11116051
364,10016,11116051
365,10016,11116061
366,10016,11116061
367,10016,11116071
368,10016,11116081
369,10016,12116031
370,10016,12116041
371,10016,12116051
372,10016,12116051
373,10016,12116061
374,10016,12116061
375,10016,12116071
376,10016,12116081
377,10016,13116031
378,10016,13116041
379,10016,13116051
380,10016,13116051
381,10016,13116061
382,10016,13116061
383,10016,13116071
384,10016,13116081
385,11001,11101021
386,11001,11101091
387,11001,12101021
388,11001,12101091
389,11001,13101021
390,11001,13101091
391,11002,11102021
392,11002,11102091
393,11002,12102021
394,11002,12102091
395,11002,13102021
396,11002,13102091
397,11003,11103021
398,11003,11103091
399,11003,12103021
400,11003,12103091
401,11003,13103021
402,11003,13103091
403,11004,11104021
404,11004,11104091
405,11004,12104021
406,11004,12104091
407,11004,13104021
408,11004,13104091
409,11005,11105021
410,11005,11105091
411,11005,12105021
412,11005,12105091
413,11005,13105021
414,11005,13105091
415,11006,11106021
416,11006,11106091
417,11006,12106021
418,11006,12106091
419,11006,13106021
420,11006,13106091
421,11007,11107021
422,11007,11107091
423,11007,12107021
424,11007,12107091
425,11007,13107021
426,11007,13107091
427,11008,11108021
428,11008,11108091
429,11008,12108021
430,11008,12108091
431,11008,13108021
432,11008,13108091
433,11009,11109021
434,11009,11109091
435,11009,12109021
436,11009,12109091
437,11009,13109021
438,11009,13109091
439,11010,11110021
440,11010,11110091
441,11010,12110021
442,11010,12110091
443,11010,13110021
444,11010,13110091
445,11011,11111021
446,11011,11111091
447,11011,12111021
448,11011,12111091
449,11011,13111021
450,11011,13111091
451,11012,11112021
452,11012,11112091
453,11012,12112021
454,11012,12112091
455,11012,13112021
456,11012,13112091
457,11013,11113021
458,11013,11113091
459,11013,12113021
460,11013,12113091
461,11013,13113021
462,11013,13113091
463,11014,11114021
464,11014,11114091
465,11014,12114021
466,11014,12114091
467,11014,13114021
468,11014,13114091
469,11015,11115021
470,11015,11115091
471,11015,12115021
472,11015,12115091
473,11015,13115021
474,11015,13115091
475,11016,11116021
476,11016,11116091
477,11016,12116021
478,11016,12116091
479,11016,13116021
480,11016,13116091
481,12001,11101011
482,12001,12101011
483,12001,13101011
484,12002,11102011
485,12002,12102011
486,12002,13102011
487,12003,11103011
488,12003,12103011
489,12003,13103011
490,12004,11104011
491,12004,12104011
492,12004,13104011
493,12005,11105011
494,12005,12105011
495,12005,13105011
496,12006,11106011
497,12006,12106011
498,12006,13106011
499,12007,11107011
500,12007,12107011
501,12007,13107011
502,12008,11108011
503,12008,12108011
504,12008,13108011
505,12009,11109011
506,12009,12109011
507,12009,13109011
508,12010,11110011
509,12010,12110011
510,12010,13110011
511,12011,11111011
512,12011,12111011
513,12011,13111011
514,12012,11112011
515,12012,12112011
516,12012,13112011
517,12013,11113011
518,12013,12113011
519,12013,13113011
520,12014,11114011
521,12014,12114011
522,12014,13114011
523,12015,11115011
524,12015,12115011
525,12015,13115011
526,12016,11116011
527,12016,12116011
528,12016,13116011
529,13001,11101011
530,13001,11101021
531,13001,11101091
532,13001,11101031
533,13001,11101041
534,13001,11101051
535,13001,11101051
536,13001,11101061
537,13001,11101061
538,13001,11101071
539,13001,11101081
540,13001,12101011
541,13001,12101021
542,13001,12101091
543,13001,12101031
544,13001,12101041
545,13001,12101051
546,13001,12101051
547,13001,12101061
548,13001,12101061
549,13001,12101071
550,13001,12101081
551,13001,13101011
552,13001,13101021
553,13001,13101091
554,13001,13101031
555,13001,13101041
556,13001,13101051
557,13001,13101051
558,13001,13101061
559,13001,13101061
560,13001,13101071
561,13001,13101081
562,13002,11102011
563,13002,11102021
564,13002,11102091
565,13002,11102031
566,13002,11102041
567,13002,11102051
568,13002,11102051
569,13002,11102061
570,13002,11102061
571,13002,11102071
572,13002,11102081
573,13002,12102011
574,13002,12102021
575,13002,12102091
576,13002,12102031
577,13002,12102041
578,13002,12102051
579,13002,12102051
580,13002,12102061
581,13002,12102061
582,13002,12102071
583,13002,12102081
584,13002,13102011
585,13002,13102021
586,13002,13102091
587,13002,13102031
588,13002,13102041
589,13002,13102051
590,13002,13102051
591,13002,13102061
592,13002,13102061
593,13002,13102071
594,13002,13102081
595,13003,11103011
596,13003,11103021
597,13003,11103091
598,13003,11103031
599,13003,11103041
600,13003,11103051
601,13003,11103051
602,13003,11103061
603,13003,11103061
604,13003,11103071
605,13003,11103081
606,13003,12103011
607,13003,12103021
608,13003,12103091
609,13003,12103031
610,13003,12103041
611,13003,12103051
612,13003,12103051
613,13003,12103061
614,13003,12103061
615,13003,12103071
616,13003,12103081
617,13003,13103011
618,13003,13103021
619,13003,13103091
620,13003,13103031
621,13003,13103041
622,13003,13103051
623,13003,13103051
624,13003,13103061
625,13003,13103061
626,13003,13103071
627,13003,13103081
628,13004,11104011
629,13004,11104021
630,13004,11104091
631,13004,11104031
632,13004,11104041
633,13004,11104051
634,13004,11104051
635,13004,11104061
636,13004,11104061
637,13004,11104071
638,13004,11104081
639,13004,12104011
640,13004,12104021
641,13004,12104091
642,13004,12104031
643,13004,12104041
644,13004,12104051
645,13004,12104051
646,13004,12104061
647,13004,12104061
648,13004,12104071
649,13004,12104081
650,13004,13104011
651,13004,13104021
652,13004,13104091
653,13004,13104031
654,13004,13104041
655,13004,13104051
656,13004,13104051
657,13004,13104061
658,13004,13104061
659,13004,13104071
660,13004,13104081
661,13005,11105011
662,13005,11105021
663,13005,11105091
664,13005,11105031
665,13005,11105041
666,13005,11105051
667,13005,11105051
668,13005,11105061
669,13005,11105061
670,13005,11105071
671,13005,11105081
672,13005,12105011
673,13005,12105021
674,13005,12105091
675,13005,12105031
676,13005,12105041
677,13005,12105051
678,13005,12105051
679,13005,12105061
680,13005,12105061
681,13005,12105071
682,13005,12105081
683,13005,13105011
684,13005,13105021
685,13005,13105091
686,13005,13105031
687,13005,13105041
688,13005,13105051
689,13005,13105051
690,13005,13105061
691,13005,13105061
692,13005,13105071
693,13005,13105081
694,13006,11106011
695,13006,11106021
696,13006,11106091
697,13006,11106031
698,13006,11106041
699,13006,11106051
700,13006,11106051
701,13006,11106061
702,13006,11106061
703,13006,11106071
704,13006,11106081
705,13006,12106011
706,13006,12106021
707,13006,12106091
708,13006,12106031
709,13006,12106041
710,13006,12106051
711,13006,12106051
712,13006,12106061
713,13006,12106061
714,13006,12106071
715,13006,12106081
716,13006,13106011
717,13006,13106021
718,13006,13106091
719,13006,13106031
720,13006,13106041
721,13006,13106051
722,13006,13106051
723,13006,13106061
724,13006,13106061
725,13006,13106071
726,13006,13106081
727,13007,11107011
728,13007,11107021
729,13007,11107091
730,13007,11107031
731,13007,11107041
732,13007,11107051
733,13007,11107051
734,13007,11107061
735,13007,11107061
736,13007,11107071
737,13007,11107081
738,13007,12107011
739,13007,12107021
740,13007,12107091
741,13007,12107031
742,13007,12107041
743,13007,12107051
744,13007,12107051
745,13007,12107061
746,13007,12107061
747,13007,12107071
748,13007,12107081
749,13007,13107011
750,13007,13107021
751,13007,13107091
752,13007,13107031
753,13007,13107041
754,13007,13107051
755,13007,13107051
756,13007,13107061
757,13007,13107061
758,13007,13107071
759,13007,13107081
760,13008,11108011
761,13008,11108021
762,13008,11108091
763,13008,11108031
764,13008,11108041
765,13008,11108051
766,13008,11108051
767,13008,11108061
768,13008,11108061
769,13008,11108071
770,13008,11108081
771,13008,12108011
772,13008,12108021
773,13008,12108091
774,13008,12108031
775,13008,12108041
776,13008,12108051
777,13008,12108051
778,13008,12108061
779,13008,12108061
780,13008,12108071
781,13008,12108081
782,13008,13108011
783,13008,13108021
784,13008,13108091
785,13008,13108031
786,13008,13108041
787,13008,13108051
788,13008,13108051
789,13008,13108061
790,13008,13108061
791,13008,13108071
792,13008,13108081
793,21001,11102031
794,22001,12102031
795,23001,13102031
796,21002,11103071
797,22002,12103071
798,23002,13103071
799,21003,11105031
800,22003,12105031
801,23003,13105031
802,21004,11105041
803,22004,12105041
804,23004,13105041
805,21005,11105051
806,22005,12105051
807,23005,13105051
808,21006,11105061
809,22006,12105061
810,23006,13105061
811,21007,11105071
812,22007,12105071
813,23007,13105071
814,21008,11105081
815,22008,12105081
816,23008,13105081
817,21009,11106071
818,22009,12106071
819,23009,13106071
820,21010,11106081
821,22010,12106081
822,23010,13106081
823,21011,11106061
824,22011,12106061
825,23011,13106061
826,30001,33000001
827,30001,33000002
828,30001,33000003
829,30001,33000004
830,30001,33000005
831,30001,33000006
832,30001,33000007
833,30001,33000008
834,30001,33000009
835,30002,33000101
836,30002,33000102
837,30002,33000103
838,30002,33000104
839,30002,33000105
840,30002,33000106
841,30002,33000107
842,30002,33000108
843,30002,33000109
844,30003,33000201
845,30003,33000202
846,30003,33000203
847,30003,33000204
848,30003,33000205
849,30003,33000206
850,30003,33000207
851,30003,33000208
852,30003,33000209
853,30004,33000301
854,30004,33000302
855,30004,33000303
856,30004,33000304
857,30004,33000305
858,30004,33000306
859,30004,33000307
860,30004,33000308
861,30004,33000309
862,30005,33000401
863,30005,33000402
864,30005,33000403
865,30005,33000404
866,30005,33000405
867,30005,33000406
868,30005,33000407
869,30005,33000408
870,30005,33000409
871,30006,33000501
872,30006,33000502
873,30006,33000503
874,30006,33000504
875,30006,33000505
876,30006,33000506
877,30006,33000507
878,30006,33000508
879,30006,33000509
880,30007,33000601
881,30007,33000602
882,30007,33000603
883,30007,33000604
884,30007,33000605
885,30007,33000606
886,30007,33000607
887,30007,33000608
888,30007,33000609
889,30008,33000701
890,30008,33000702
891,30008,33000703
892,30008,33000704
893,30008,33000705
894,30008,33000706
895,30008,33000707
896,30008,33000708
897,30008,33000709
898,30009,33000801
899,30009,33000802
900,30009,33000803
901,30009,33000804
902,30009,33000805
903,30009,33000806
904,30009,33000807
905,30009,33000808
906,30009,33000809
907,30010,33000901
908,30010,33000902
909,30010,33000903
910,30010,33000904
911,30010,33000905
912,30010,33000906
913,30010,33000907
914,30010,33000908
915,30010,33000909
916,30011,33001001
917,30011,33001002
918,30011,33001003
919,30011,33001004
920,30011,33001005
921,30011,33001006
922,30011,33001007
923,30011,33001008
924,30011,33001009
925,30012,33001101
926,30012,33001102
927,30012,33001103
928,30012,33001104
929,30012,33001105
930,30012,33001106
931,30012,33001107
932,30012,33001108
933,30012,33001109
934,30013,33001201
935,30013,33001202
936,30013,33001203
937,30013,33001204
938,30013,33001205
939,30013,33001206
940,30013,33001207
941,30013,33001208
942,30013,33001209
943,30014,33001301
944,30014,33001302
945,30014,33001303
946,30014,33001304
947,30014,33001305
948,30014,33001306
949,30014,33001307
950,30014,33001308
951,30014,33001309
952,30015,33001401
953,30015,33001402
954,30015,33001403
955,30015,33001404
956,30015,33001405
957,30015,33001406
958,30015,33001407
959,30015,33001408
960,30015,33001409
961,30016,33001501
962,30016,33001502
963,30016,33001503
964,30016,33001504
965,30016,33001505
966,30016,33001506
967,30016,33001507
968,30016,33001508
969,30016,33001509
970,30017,33001601
971,30017,33001602
972,30017,33001603
973,30017,33001604
974,30017,33001605
975,30017,33001606
976,30017,33001607
977,30017,33001608
978,30017,33001609
979,30018,33001701
980,30018,33001702
981,30018,33001703
982,30018,33001704
983,30018,33001705
984,30018,33001706
985,30018,33001707
986,30018,33001708
987,30018,33001709
988,30019,33001801
989,30019,33001802
990,30019,33001803
991,30019,33001804
992,30019,33001805
993,30019,33001806
994,30019,33001807
995,30019,33001808
996,30019,33001809
997,40001,11106031
998,40001,11106041
999,40002,12106031
1000,40002,12106041
1001,40003,13106031
1002,40003,13106041
1003,40011,11106051
1004,40011,11106071
1005,40012,12106051
1006,40012,12106071
1007,40013,13106051
1008,40013,13106071
1009,40021,11106061
1010,40021,11106081
1011,40022,12106061
1012,40022,12106081
1013,40023,13106061
1014,40023,13106081
